Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE,lat,lon
3060,Tsi Del Del Enterprises Limited,Tsi Del Del Ent,TSIDELDELENT,BC,,,,,0,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,0,,,,
3112,Volktrans-Canada Ltd.,Volktrans-Canad,VOLKTRANSCANAD,BC,VOLKTRANS CANADA LTD.,BC-1029689,3/6/2015 0:00,Active,1,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,,,
3145,West Chilcotin Forest Products Ltd.,West Chilcotin ,WESTCHILCOTIN,BC,WEST CHILCOTIN FOREST PRODUCTS LTD.,BC-0462534,1/13/1994 0:00,Active,1,01/13/94,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,,,
3241,Timber Baron Contracting Ltd,Timber Baron Co,TIMBERBARONCO,BC,TIMBER BARON CONTRACTING LTD.,BC-1262556,9/1/2020 0:00,Active,1,,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,"4650 Lazelle Ave #203, Terrace",,BC,V8G 1S6,(250) 635-7677,https://timberbaron.ca/,,https://www.google.com/maps/place/Timber+Baron+Contracting+Ltd/data=!4m5!3m4!1s0x5474bd5b9e16bec9:0xe833e058a662c50!8m2!3d54.5178321!4d-128.590911?authuser=0&hl=en&rclk=1,,54.5178321,-128.590911
3247,Sarver Wood Fibre,Sarver Wood Fib,SARVERWOODFIB,BC,SARVER WOOD FIBRE LTD.,BC-0724985,5/19/2005 0:00,Active,0.9895,,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,NA,,?,,(250) 395-1722,https://sarverwood.com/,,https://www.google.com/maps/place/Sarver+Wood+Fibre/data=!4m5!3m4!1s0x53806fcda537d6d5:0xa1615c9270f7b98f!8m2!3d54.3264307!4d-124.5268441?authuser=0&hl=en&rclk=1,,54.3264307,-124.5268441
3257,Amboy Logging Ltd,Amboy Logging L,AMBOYLOGGINGL,BC,AMBOY LOGGING LTD.,BC-1073970,5/1/2016 0:00,Active,1,,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,"4238 Comeau Rd, Quesnel",,BC,V2J 6W8,(250) 992-8771,NA,,https://www.google.com/maps/place/Amboy+Logging+Ltd/data=!4m5!3m4!1s0x53870f5a66a4753d:0xefa7a0d60695fafd!8m2!3d53.0330883!4d-122.4853037?authuser=0&hl=en&rclk=1,NA,53.0330883,-122.4853037
3396,Suncoast Logging Ltd,Suncoast Loggin,SUNCOASTLOGGIN,BC,SUNCOAST LOGGING LTD.,BC-0749486,2/21/2006 0:00,Active,1,,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,Gold Bridge,,BC,V0K 1P0,(250) 283-7764,NA,,https://www.google.com/maps/place/Suncoast+Logging+Ltd/data=!4m5!3m4!1s0x547e19ac88cf9d89:0x6d720e4544542e5e!8m2!3d50.855906!4d-122.83414?authuser=0&hl=en&rclk=1,NA,50.855906,-122.83414
3449,Long's Logging,Long's Logging,LONGSLOGGING,BC,LONG'S LOGGING INC.,BC-0593328,9/30/1999 0:00,Active,0.96,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,GD Lcd Main,Terrace,BC,V8G 4A1,250-615-2402,,,0,,,
3450,Clusko Logging,Clusko Logging,CLUSKOLOGGING,BC,CLUSKO LOGGING ENTERPRISES LTD.,BC-1154646,3/1/2018 0:00,Active,0.9429,,,,,,,,Maps,,SAFE,BASE,>20 employees,Top logger,"730,000 cubic metres",Cut-to-length,"100 Mile House, Williams Lake, Prince George, Mackenzie",Arnold and Imke Bremner,"Cut-to-length softwood for sawlogs and pulp, incidental cut-to-length, stump-to-dump delivery",0,153 Pinto Rd,Kelowna,BC,V1V 2G9,250-765-3343,,,https://www.google.com/maps/place/Clusko+Logging/data=!4m5!3m4!1s0x537df2bb0c7cd65d:0x3440670f9b5e1fdf!8m2!3d49.9190184!4d-119.395615?authuser=0&hl=en&rclk=1,,49.9190184,-119.395615
3473,Groot Bros Contracting Ltd,Groot Bros Contracting Ltd,,BC,GROOT BROS. CONTRACTING LTD.,BC-0914356,7/1/2011 0:00,Active,1,,,CTL,,Canadian logging jobs,"CTL, Canfor, West Fraser, Pinnacle","['Operating a Tigercat 870C Feller Buncher ', 'Falling for Skidders and Stump side Processing', '5 yrs exp. ', 'Vaild Class 5 drivers Lic.', 'Team Playerâ€¦ ', 'See more', 'Groot Bros Contracting Ltd', 'Feller Buncher Operator']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Processor Operator', '- CTL and long logs', '- 2 years experience', '- Valid Class 5 licence ', '- Focused on Safety, Quality, Productivity and Machine maintenance  â€¦ ', 'See more', 'Groot Bros Contracting Ltd', 'Processor operator', 'Houston\xa0Â·\xa0Full-time\xa0Â·\xa0CA$28-CA$32/hour', 'Apply Now']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Haul CTL logs into Local Mills, Canfor, West Fraser, Pinnacle.', 'Houston, Smithers, Burns Lake', 'Groot Bros Contracting Ltd', 'CTL Sub Contract Log Trucks ']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Groot Bros Contracting Ltd', 'Forwarder Operator', 'Houston\xa0Â·\xa0Full-time', 'Groot Bros Contracting Ltd', ' posted a job.', '\xa0', ' Â· ', '12 August 2019', '\xa0', ' Â· ', 'Groot Bros Contracting Ltd has a career opportunity for an experienced forwarder operator.', 'Work is in the Houston area.', 'The ideal candidate has; min 3 years eâ€¦ ', 'See more']",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"['Groot Bros Contracting Ltd in Houston B.C. is looking for experienced Forwarder operator.', 'Email resume with references to mgroot@telus.net', 'Competitive wages ', 'Pension and benefits ', 'Flights and accommodations can be arranged.']",,,,,,,,,,,,,,,,,,,,,,,
3536,Freya Logging Inc,Freya Logging Inc,,?,,,,,0,,,,,Canadian logging jobs,,,,,,,,,,,,,,,,,,,,,,,,,
451,Nilsson Select Contracting Ltd.,Nilsson Select ,NILSSONSELECT,BC,NILSSON SELECT CONTRACTING LTD.,BC-0644143,3/15/2002 0:00,Active,1,03/15/02,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,32,,,,
465,Borland Creek Logging Ltd.,Borland Creek L,BORLANDCREEKL,BC,BORLAND CREEK LOGGING LTD.,BC-0476238,7/7/1994 0:00,Active,1,07/07/94,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,30,,,,
1379,A.M. Anderson Ventures Ltd.,A.M. Anderson V,AMANDERSONV,BC,A.M. ANDERSON VENTURES LTD.,BC-1042166,7/8/2015 0:00,Active,1,2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
2858,Skywest Environmental Inc.,Skywest Environ,SKYWESTENVIRON,BC,SKYWEST ENVIRONMENTAL INC.,BC-0901008,1/21/2011 0:00,Active,1,01/21/11,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,,,
