Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE
20,Den-mit Enterprises Ltd,Den-mit Enterpr,DENMITENTERPR,BC,DEN-MIT ENTERPRISES LTD.,BC-0473123,1994-05-18 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,5408 Chief Lake Rd,Prince George,BC,V2K 5R1,250-962-8639,,,0,
21,Tolsons Enterprises Ltd,Tolsons Enterpr,TOLSONSENTERPR,BC,TOLSONS ENTERPRISES LTD.,BC-0118448,1973-05-14 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,10-8465 Harvard Pl,Chilliwack,BC,V2P 7Z5,604-792-9575,,,0,
22,Squamish Mills Ltd,Squamish Mills ,SQUAMISHMILLS,BC,SQUAMISH MILLS LTD.,BC-0027206,1951-03-31 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,1555 Pemberton Ave,Squamish,BC,,604-892-3577,,,0,
23,Mack Bros Logging,Mack Bros Loggi,MACKBROSLOGGI,BC,MACK BROS. LOGGING CO. LTD.,BC-0091074,1969-12-23 0:00,Active,0.9474,,,,,,,,Maps,,,,,,,,,,,,3841 Hwy 97 N,Quesnel,BC,V2J 5Z2,778-414-9072,,,0,
24,Valemount Community Forest Co Ltd,Valemount Commu,VALEMOUNTCOMMU,BC,,,,,0.0000,,,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,3790 Sawyer,Valemount,BC,V0E 2Z0,250-566-4610,http://valemountcommunityforest.ca/,,0,
25,A & A Trading Ltd,A & A Trading L,AATRADINGL,BC,A & A TRADING LTD.,BC-0552370,1997-10-17 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,1210-1111 Melville St,Vancouver,BC,V6E 3V6,604-684-2107,https://www.aatrading.com/,,0,
26,All West Trading Ltd,All West Tradin,ALLWESTTRADIN,BC,ALL WEST TRADING LIMITED,BC-0239636,1981-07-22 0:00,Active,0.9101,,,,,,,,,,,,,,,,,,,,606 2nd Ave,Stewart,BC,V0T 1W0,250-636-2645,http://www.allwesttrading.com/,,0,
27,Brink Forest Products Ltd,Brink Forest Pr,BRINKFORESTPR,BC,BRINK FOREST PRODUCTS LTD.,BC-0348671,1988-07-18 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,1889 Panorama Dr,Abbotsford,BC,V2S 7S3,604-542-1899,,,0,
28,Husby Forest Products Ltd,Husby Forest Pr,HUSBYFORESTPR,BC,HUSBY FOREST PRODUCTS LTD.,BC-0158515,1977-02-28 0:00,Active,1.0000,,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,215 Bayview Dr,Port Clements,BC,V0T 1R0,250-557-2459,,,https://www.google.com/maps/place/Husby+Forest+Products+Ltd/data=!4m5!3m4!1s0x5485dfb5fc8e93ef:0xba3026a02b413afd!8m2!3d49.1320594!4d-123.0440581?authuser=0&hl=en&rclk=1,
29,Taba Enterprises Ltd,Taba Enterprise,TABAENTERPRISE,BC,TABA ENTERPRISES LTD.,BC-0513885,1996-02-16 0:00,Active,1.0000,,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,65 Necoslie Ind Resrv,Fort St. James,BC,V0J 1P0,250-996-7324,,,https://www.google.com/maps/place/Taba+Enterprises+Ltd/data=!4m5!3m4!1s0x5389a107fb68db81:0xd46238db9633a970!8m2!3d54.4459588!4d-124.2610659?authuser=0&hl=en&rclk=1,
30,Zimmfor Management Services,Zimmfor Managem,ZIMMFORMANAGEM,BC,ZIMMFOR MANAGEMENT SERVICES LTD.,BC-0838405,2008-10-29 0:00,Active,0.9875,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,562 Colwyn St,Campbell River,BC,V9W 2W9,250-287-9167,https://www.zimmfor.com/,,0,
31,Duz Cho Logging,Duz Cho Logging,DUZCHOLOGGING,BC,DUZ CHO LOGGING,BC-FM0326703,2002-07-10 0:00,Active,1.0000,07/10/02,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,5360 Ritchie Rd,Mackenzie,BC,V0J 2C0,250-997-4420,https://duzcho.com,,https://www.google.com/maps/place/Duz+Cho+Logging/data=!4m5!3m4!1s0x538eba0a0d8c47d3:0xbbc453c0ebb6ad4c!8m2!3d54.9843614!4d-123.0457806?authuser=0&hl=en&rclk=1,
32,Interior Logging Association,Interior Loggin,INTERIORLOGGIN,BC,INTERIOR LOGGING ASSOCIATION,BC-S0018087,1983-04-22 0:00,Active,1.0000,04/22/83,,,,,,,Maps,,,,,,,,,,,,3204 39 Ave,Vernon,BC,V1T 3C8,250-503-2199,https://interiorlogging.org/,,0,
33,Olympic Forest Products,Olympic Forest ,OLYMPICFOREST,BC,OLYMPIC FOREST PRODUCTS LTD.,BC-0684132,2003-12-29 0:00,Active,0.9867,,,,,,,,,,SAFE,BASE,>20 employees,Top logger,"480,000 cubic metres",Cut-to-length,coastal BC,Bruce and Brian Welch,Softwood/ Tree length and cut-to-length,0,209-318 Homer St,Vancouver,BC,V6B 2V2,604-685-6164,https://olympicforest.com/,,0,http://www.jdforestmanagement.ca/
34,Coast Forest Industries,Coast Forest In,COASTFORESTIN,BC,COAST FOREST INDUSTRIES LTD.,BC-0661995,2003-01-14 0:00,Active,0.9857,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,SW Main Rd,Port Mcneill,BC,V0N 2R0,250-956-3270,,,0,
35,Henderson Contracting,Henderson Contr,HENDERSONCONTR,BC,HENDERSON CONTRACTING LTD.,BC-0167895,1977-11-10 0:00,Active,0.9800,,,,,,,,,,,,,,,,,,,,3890 Abbey Frontage Rd,Lac La Hache,BC,V0K 1T0,250-396-4544,,,0,
36,Integrated Proaction Corp,Integrated Proa,INTEGRATEDPROA,BC,INTEGRATED PROACTION CORP.,BC-0422578,1992-03-20 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,1425 Hugh Allan Dr,Kamloops,BC,V1S 1J3,778-765-4875,https://www.intpac.ca/,,0,
37,Larry's Heavy Hauling (1990) Ltd,Larry's Heavy H,LARRYSHEAVYH,BC,LARRY'S HEAVY HAULING (1990) LTD.,BC-0387716,1990-05-17 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,9267 Penn Rd,Prince George,BC,V2N 5T6,250-561-1137,https://www.larrysheavyhauling.ca/,,0,
38,Speers Construction Inc,Speers Construc,SPEERSCONSTRUC,BC,SPEERS CONSTRUCTION INC.,BC-1148827,2018-01-12 0:00,Active,1.0000,,,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,736 Begbie Rd,Revelstoke,BC,V0E 2S1,250-837-5171,https://www.speersconstruction.com/,,https://www.google.com/maps/place/Speers+Construction+Inc/data=!4m5!3m4!1s0x537936e4a182c3b3:0xfeb77aa7f3beaec4!8m2!3d50.9996121!4d-118.2251496?authuser=0&hl=en&rclk=1,
39,Storey Creek Trading,Storey Creek Tr,STOREYCREEKTR,BC,STOREY CREEK TRADING LTD.,BC-0563930,1998-05-01 0:00,Active,0.9889,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,521 Rockland Rd,Campbell River,BC,V9W 6Z3,250-923-0025,https://www.storeycreektrading.ca/,,0,
40,TimberWest Forest,TimberWest Fore,TIMBERWESTFORE,BC,TIMBERWEST FOREST CORP.,BC-A0083605,2011-06-22 0:00,Active,0.9286,,,,,,,,Maps,,,,,,,,,,,,4475 Island Hwy S,Campbell River,BC,V9H 1B8,250-286-7300,,,https://www.google.com/maps/place/TimberWest+Forest/data=!4m5!3m4!1s0x54881cc54e669881:0xf0523da928f8e97c!8m2!3d50.0672761!4d-125.2893812?authuser=0&hl=en&rclk=1,
41,Pitka Logging Ltd,Pitka Logging L,PITKALOGGINGL,BC,PITKA LOGGING LTD.,BC-0271967,1983-12-13 0:00,Active,1.0000,,,,,Canadian logging jobs,feller buncher,"['Pitka Logging Ltd. located in Vanderhoof BC has an immediate position available for a feller buncher operator with level 3 first aid. We offer Competitive wages, comprehensive benefits and pension package and camp if needed. Please reply with resume to Pitka@telus.net - thank you']",Maps,,SAFE,BASE,>20 employees,,,,,,,,683 Loop Rd RR 2,Vanderhoof,BC,V0J 3A2,,,,https://www.google.com/maps/place/Pitka+Logging+Ltd/data=!4m5!3m4!1s0x53884ee4b71d7461:0x84a0d9bad5190184!8m2!3d54.028165!4d-124.028845?authuser=0&hl=en&rclk=1,
42,Tanana Timber Products Ltd,Tanana Timber P,TANANATIMBERP,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,1245 Evelyn St,North Vancouver,BC,V7K 3A7,,,,0,
43,Progressive Forest Products,Progressive For,PROGRESSIVEFOR,BC,PROGRESSIVE FOREST PRODUCTS LTD.,BC-1018417,2014-11-06 0:00,Active,0.9867,,,,,,,,Maps,,,,,,,,,,,,,Chilliwack,BC,V2R 1N9,1-888-689-5020,,,https://www.google.com/maps/place/Progressive+Forest+Products/data=!4m5!3m4!1s0x54843eaf3fadb6cd:0x95c70594f92482ef!8m2!3d48.9646004!4d-121.5289152?authuser=0&hl=en&rclk=1,
44,Cold Stone Logging Ltd,Cold Stone Logg,COLDSTONELOGG,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,214-2459 Cousins Ave,Courtenay,BC,V9N 3N6,250-218-3464,,,0,
45,Ddexco Enterprises,Ddexco Enterpri,DDEXCOENTERPRI,BC,DDEXCO ENTERPRISES LTD.,BC-0438632,1993-01-05 0:00,Active,0.9833,,,,,,,,,,,,,,,,,,,,3826 South Oyster School Rd Bsmt,Ladysmith,BC,V9G 1Z5,250-245-8020,,,0,
46,Jordan River Logging Ltd,Jordan River Lo,JORDANRIVERLO,BC,JORDAN RIVER LOGGING LTD.,BC-0858788,2009-08-11 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,3473 Smiley Rd,Chemainus,BC,V0R 1K4,250-246-1414,,,0,https://westwoodfibre.ca/
47,Copper Canyon Timber Ltd,Copper Canyon T,COPPERCANYONT,BC,COPPER CANYON TIMBER LTD.,BC-0758381,2006-05-23 0:00,Active,1.0000,,,,,,,,,,,,,,,,,,,,3500 River Rd RR 4,Chemainus,BC,V0R 1K4,250-246-1515,,,0,
48,Bayline Enterprises Inc,Bayline Enterpr,BAYLINEENTERPR,BC,BAY LINE ENTERPRISES INC.,BC-1023818,2015-01-04 0:00,Active,0.9865,,,,,,,,Maps,,,,,,,,,,,,1016 Herring Gull Way,Parksville,BC,V9P 1R2,250-248-0699,,,0,
49,Fawdrey Logging,Fawdrey Logging,FAWDREYLOGGING,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,Parksville,BC,V9P 2G2,250-248-3698,,,0,
50,Bear Lake Logging Co,Bear Lake Loggi,BEARLAKELOGGI,BC,BEAR LAKE LOGGING CO. LTD.,BC-0342138,1988-03-14 0:00,Active,0.9882,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,1009 Allsbrook Rd Suite 12A,Parksville,BC,V9P 2A9,250-248-5406,,,0,
51,Blackwater Timber Ltd,Blackwater Timb,BLACKWATERTIMB,BC,BLACKWATER TIMBER LTD.,BC-0499992,1995-07-04 0:00,Active,1.0000,,,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,9702 Harris Rd,Nazko,BC,V2J 3H9,250-249-0056,,,0,
52,Roland Enterprises Ltd,Roland Enterpri,ROLANDENTERPRI,BC,ROLAND ENTERPRISES LTD.,BC-0457360,1993-11-03 0:00,Active,1.0000,,,,,,,,,,,,,,,,,,,,545 Hwy 6,Nakusp,BC,V0G 1R0,250-265-4009,,,0,
53,Dyer Logging Co Ltd,Dyer Logging Co,DYERLOGGINGCO,BC,DYER LOGGING CO. LTD.,BC-0994514,2014-03-01 0:00,Active,1.0000,,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,740 Island Hwy RR 1,Sayward,BC,V0P 1R0,250-282-3381,,,https://www.google.com/maps/place/Dyer+Logging+Co+Ltd/data=!4m5!3m4!1s0x5462dc733b4219f7:0xfb8f31a8addd4b22!8m2!3d50.325208!4d-125.9197229?authuser=0&hl=en&rclk=1,
54,R & B Falling Ltd,R & B Falling L,RBFALLINGL,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,1216 Matsqui Ave,Port Alice,BC,V0N 2N0,250-284-6262,,,0,
55,Harper Logging Ltd,Harper Logging ,HARPERLOGGING,BC,HARPER LOGGING LTD.,BC-0053509,1962-05-10 0:00,Active,1.0000,,,,,,,,Maps,,,,,,,,,,,,1796 Hyacinthe Bay,Quadra Isld,BC,V0P 1N0,250-285-2325,,,https://www.google.com/maps/place/Harper+Logging+Ltd/data=!4m5!3m4!1s0x5462b2098b09d335:0x5adb7c02bbba5671!8m2!3d50.1061606!4d-125.2218908?authuser=0&hl=en&rclk=1,
56,Ponting Logging & Grade Ltd,Ponting Logging,PONTINGLOGGING,BC,,,,,0.0000,,,,,,,,Maps,,,,,,,,,,,,5705 Island Hwy,Campbell River,BC,V9W 2J3,250-286-3113,,,https://www.google.com/maps/place/Ponting+Logging+%26+Grade+Ltd/data=!4m5!3m4!1s0x5462afa8ec14689d:0xc0f2fdea252e04ac!8m2!3d50.0446497!4d-125.2703027?authuser=0&hl=en&rclk=1,
57,Buttle Lake Resources Ltd,Buttle Lake Res,BUTTLELAKERES,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,1355 Evergreen Rd,Campbell River,BC,V9W 3S3,250-286-4699,,,0,
58,Coast Mountain Industries Ltd,Coast Mountain ,COASTMOUNTAIN,BC,COAST MOUNTAIN INDUSTRIES LTD.,BC-0524375,1996-07-30 0:00,Active,1.0000,,,,,,,,,,,,,,,,,,,,2860B Vigar Rd,Campbell River,BC,V9W 6A3,250-286-7225,,,0,
59,Tymatt Contracting Limited,Tymatt Contract,TYMATTCONTRACT,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,1310 Marwalk Cres,Campbell River,BC,V9W 5X1,250-287-2239,,,0,
60,Benwest Logging Ltd,Benwest Logging,BENWESTLOGGING,BC,BENWEST LOGGING LIMITED,BC-0065498,1965-07-20 0:00,Active,0.8606,,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,203-911 Island Hwy,Campbell River,BC,V9W 2C2,250-287-7932,,,https://www.google.com/maps/place/Benwest+Logging+Ltd/data=!4m5!3m4!1s0x5462af33f69252e5:0x77187cacbbc61049!8m2!3d50.0275179!4d-125.2666288?authuser=0&hl=en&rclk=1,
61,The Tranquil Forest Group Ltd,The Tranquil Fo,THETRANQUILFO,BC,,,,,0.0000,,,,,,,,,,,,,,,,,,,,1170C Shoppers Row,Campbell River,BC,V9W 2C8,250-287-9228,,,0,
62,Lind G R (Mac) Logging Ltd,Lind G R (Mac) ,LINDGRMAC,BC,G.R. (MAC) LIND LOGGING LTD.,BC-0255417,1982-10-05 0:00,Active,1.0000,,,,,,,,Maps,,,,,,,,,,,,295 Coalmont,Princeton,BC,V0X 1W0,250-295-6231,,,https://www.google.com/maps/place/Lind+G+R+(Mac)+Logging+Ltd/data=!4m5!3m4!1s0x5483b16bd359b503:0x253152096865ddc0!8m2!3d49.4599482!4d-120.5492713?authuser=0&hl=en&rclk=1,
63,Jesse Hunt Trucking,Jesse Hunt Truc,JESSEHUNTTRUC,BC,JESSE HUNT TRUCKING,BC-FM0399879,2005-06-10 0:00,Active,1.0000,06/10/05,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,Po Box 4414 Stn Main,Williams Lake,BC,V2G 2V4,250-296-3138,,,0,
64,JD Forest Management,JD Forest Manag,JDFORESTMANAG,BC,JD FOREST MANAGEMENT,BC-FM0645622,2014-10-27 0:00,Active,1.0000,10/27/14,,,,,,,,,SAFE,IOO,Individual owner operator,,,,,,,,2265 Rosedale Ave,Armstrong,BC,V0E 1B1,250-306-6069,http://www.jdforestmanagement.ca/,,0,https://p-d-logging-ltd.business.site
65,Dane Developments Ltd,Dane Developmen,DANEDEVELOPMEN,BC,DANE DEVELOPMENTS LTD.,BC-0356729,1988-12-20 0:00,Active,1.0000,,,,,,,,Maps,,,,,,,,,,,,2130 Comox Logging Rd,Courtenay,BC,V9N 9M4,250-331-0055,,,https://www.google.com/maps/place/Dane+Developments+Ltd/data=!4m5!3m4!1s0x5488149117c07b7b:0xc4e098a697cb7fcc!8m2!3d49.712474!4d-124.957739?authuser=0&hl=en&rclk=1,
66,Hamilton Mike Logging Ltd,Hamilton Mike L,HAMILTONMIKEL,BC,MIKE HAMILTON LOGGING LTD.,BC-0159123,1977-03-14 0:00,Active,1.0000,,,,,,,,,,,,,,,,,,,,1085 Comox Rd,Courtenay,BC,V9N 3P7,250-334-7548,,,0,
67,Talbot Logging Ltd,Talbot Logging ,TALBOTLOGGING,BC,TALBOT LOGGING LTD.,BC-0433635,1992-10-06 0:00,Active,1.0000,,,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,7466 Island Hwy,Merville,BC,V0R 2M0,250-337-5132,,,0,
68,Coupland Ed Contracting,Coupland Ed Con,COUPLANDEDCON,BC,ED COUPLAND CONTRACTING LTD.,BC-0297844,1985-09-18 0:00,Active,0.9882,,,,,,,,,,,,,,,,,,,,725 Nicholson Frontage Rd RR 2,Golden,BC,V0A 1H2,250-344-5300,,,0,
69,Whiskey Jack Logging Ltd,Whiskey Jack Lo,WHISKEYJACKLO,BC,WHISKEY JACK LOGGING LTD.,BC-0118631,1973-05-22 0:00,Active,1.0000,,,,,,,,Maps,,SAFE,BASE,>20 employees,,,,,,,,1403 7th Ave S,Golden,BC,V0H 1H0,250-344-7232,,,https://www.google.com/maps/place/Whiskey+Jack+Logging+Ltd/data=!4m5!3m4!1s0x5379bfbd99b5e13b:0x3ff302dc17287e8e!8m2!3d51.2911489!4d-116.9713119?authuser=0&hl=en&rclk=1,
70,Seel Forest Products Ltd,Seel Forest Pro,SEELFORESTPRO,BC,SEEL FOREST PRODUCTS LTD.,BC-0086909,1969-05-26 0:00,Active,1.0000,,,,,,,,,,,,,,,,,,,,5737 Seel Rd,Edgewater,BC,V0A 1E0,250-347-9420,,,0,
