Index,Field Name,Cleancode 15 char,Cleancode 15 char,Location,Company name,Code,Founded,Status,Similarity,Company founded,Logging harvester company,CTL,Priority,Canadian logging jobs,Comments,CA logging job posts,MAPS,YP,SAFE,CERTIFICATION,Size,Top Logging contractor,Capacity,CTL,Area of operation,Owner,Type of operation 1,Type of operation 2,Address,City,Province,Postal code,Fone,WEBSITE LINK,Point based on name,Google Maps,WEBSITE
11,Robson Valley Timber Corp.,Robson Valley T,ROBSONVALLEYT,BC,ROBSON VALLEY TIMBER CORP.,BC-A0094486,2015-02-04 0:00,Active,1.0000,02/04/15,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,30,,
12,Webb Brothers Contracting Ltd.,Webb Brothers C,WEBBBROTHERSC,BC,WEBB BROTHERS CONTRACTING LTD.,BC-0988904,2013-12-19 0:00,Active,1.0000,12/19/13,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,30,,
13,Antler Creek Contracting Ltd.,Antler Creek Co,ANTLERCREEKCO,BC,ANTLER CREEK CONTRACTING LTD.,BC-1139357,2017-10-30 0:00,Active,1.0000,10/30/17,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,28,,
14,Blue Thunder Contracting Ltd.,Blue Thunder Co,BLUETHUNDERCO,BC,BLUE THUNDER CONTRACTING LTD.,BC-0815195,2008-01-30 0:00,Active,1.0000,01/30/08,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,28,,
15,Timber Limb Contracting Ltd.,Timber Limb Con,TIMBERLIMBCON,BC,TIMBER LIMB CONTRACTING LTD.,BC-0764144,2006-07-21 0:00,Active,1.0000,07/21/06,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,28,,
16,Steep Slope Contracting Ltd.,Steep Slope Con,STEEPSLOPECON,BC,STEEP SLOPE CONTRACTING LTD.,BC-0328015,1987-06-10 0:00,Active,1.0000,06/10/87,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,26,,
17,Goat Creek Logging Ltd.,Goat Creek Logg,GOATCREEKLOGG,BC,GOAT CREEK LOGGING LTD.,BC-0640029,2002-01-04 0:00,Active,1.0000,01/04/02,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,24,,
18,Mack Bros. Logging Co. Ltd.,Mack Bros. Logg,MACKBROSLOGG,BC,MACK BROS. LOGGING CO. LTD.,BC-0091074,1969-12-23 0:00,Active,1.0000,12/23/69,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,24,,
19,Newcastle Timber Ltd.,Newcastle Timbe,NEWCASTLETIMBE,BC,NEWCASTLE TIMBER LTD.,BC-0836793,2008-10-07 0:00,Active,1.0000,10/07/08,Harvester company,,,,,,Maps,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,22,https://www.google.com/maps/place/Newcastle+Timber+Ltd./data=!4m5!3m4!1s0x5462af1290e525a5:0xd3e7ae7daa047b8a!8m2!3d50.040679!4d-125.2702276?authuser=0&hl=en&rclk=1,
20,Westshore Logging Ltd.,Westshore Loggi,WESTSHORELOGGI,BC,WESTSHORE LOGGING LTD.,BC-1006896,2014-07-01 0:00,Active,1.0000,07/01/14,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,22,,
21,Hlookoff Logging Ltd.,Hlookoff Loggin,HLOOKOFFLOGGIN,BC,HLOOKOFF LOGGING LTD.,BC-0357496,1989-01-05 0:00,Active,1.0000,01/05/89,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,20,,
22,Landmark Timber Services Inc.,Landmark Timber,LANDMARKTIMBER,BC,LANDMARK TIMBER SERVICES INC.,BC-1169166,2018-06-22 0:00,Active,1.0000,06/22/18,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,20,,
23,Northern Log Harvesting Ltd.,Northern Log Ha,NORTHERNLOGHA,BC,NORTHERN LOG HARVESTING LTD.,BC-1037177,2015-05-21 0:00,Active,1.0000,05/21/15,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,20,,
24,Tor-Kel Contracting Ltd.,Tor-Kel Contrac,TORKELCONTRAC,BC,TOR-KEL CONTRACTING LTD.,BC-0506314,1995-10-20 0:00,Active,1.0000,10/20/95,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,18,,
25,Westway Logging Limited,Westway Logging,WESTWAYLOGGING,BC,,,,,0.0000,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,18,,
26,D.N.T. Contracting Ltd.,D.N.T. Contract,DNTCONTRACT,BC,D.N.T. CONTRACTING LTD.,BC-0234066,1981-05-07 0:00,Inactive,1.0000,05/07/81,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
27,Jaikle Contracting Ltd.,Jaikle Contract,JAIKLECONTRACT,BC,JAIKLE CONTRACTING LTD.,BC-0977139,2013-08-06 0:00,Active,1.0000,08/06/13,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,16,,
28,Janzen Logging Ltd,Janzen Logging ,JANZENLOGGING,BC,JANZEN LOGGING LTD.,BC-0980666,2013-09-18 0:00,Active,1.0000,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
29,Lusted Logging Ltd.,Lusted Logging ,LUSTEDLOGGING,BC,LUSTED LOGGING LTD.,BC-0618341,2000-11-28 0:00,Active,1.0000,11/28/00,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,16,,
30,Zapper Contracting Ltd.,Zapper Contract,ZAPPERCONTRACT,BC,ZAPPER CONTRACTING LTD.,BC-0575296,1998-11-20 0:00,Active,1.0000,11/20/98,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,16,,
31,Freya Logging Inc.,Freya Logging I,FREYALOGGINGI,BC,,,,,0.0000,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,14,,
32,Jatco Timber Ltd.,Jatco Timber Lt,JATCOTIMBERLT,BC,JATCO TIMBER LTD.,BC-0710022,2004-12-01 0:00,Active,1.0000,12/01/04,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,14,,
33,K & D Logging Ltd.,K & D Logging L,KDLOGGINGL,BC,D. K. LOGGING LTD.,BC-0503235,1995-08-28 0:00,Active,1.0000,01/01/14,Harvester company,,,,,,,,SAFE,BASE,>20 employees,Top logger,"450,000 cubic metres",,"Fort St James, Leo Creek",Ken Rasmussen and Lori Hoy,Softwood/Tree and long-log length,0,,,,,,,14,,http://www.jdforestmanagement.ca/
34,Kropp Logging Ltd.,Kropp Logging L,KROPPLOGGINGL,BC,KROPP LOGGING LTD.,BC-0628871,2001-06-06 0:00,Active,1.0000,06/06/01,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,14,,
35,ACST Logging Ltd.,ACST Logging Lt,ACSTLOGGINGLT,BC,ACST LOGGING LTD.,BC-0928226,2011-12-20 0:00,Active,1.0000,12/20/11,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,12,,
36,H.D. Logging Ltd.,H.D. Logging Lt,HDLOGGINGLT,BC,H.D. LOGGING LTD.,BC-0529848,1996-10-25 0:00,Active,1.0000,10/25/96,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,12,,
37,NGS Contracting Ltd.,NGS Contracting,NGSCONTRACTING,BC,NGS CONTRACTING LTD.,BC-0589968,1999-07-30 0:00,Active,1.0000,07/30/99,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,10,,
38,575012 BC Ltd.,575012 BC Ltd.,575012BCLTD,BC,575012 B.C. LTD.,BC-0575012,1998-11-17 0:00,Active,0.9881,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
39,Bill Todd Ltd.,Bill Todd Ltd.,BILLTODDLTD,BC,BILL TODD LTD.,BC-0186977,1979-02-21 0:00,Active,1.0000,02/21/79,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,0,,
40,Buff Lumber Ltd.,Buff Lumber Ltd,BUFFLUMBERLTD,BC,BUFF LUMBER LTD.,BC-0590896,1999-08-18 0:00,Active,1.0000,08/18/99,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
41,Chasse Holdings Ltd,Chasse Holdings,CHASSEHOLDINGS,BC,CHASSE HOLDINGS LTD.,BC-0274698,1984-02-23 0:00,Active,1.0000,,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,0,,
42,Edgewater Holdings Ltd.,Edgewater Holdi,EDGEWATERHOLDI,BC,EDGEWATER HOLDINGS LTD.,BC-0569928,1998-08-11 0:00,Active,1.0000,08/11/98,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
43,Fink's Sawmill Ltd.,Fink's Sawmill ,FINKSSAWMILL,BC,FINK'S SAWMILL LTD.,BC-0055071,1962-11-26 0:00,Active,1.0000,11/26/62,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
44,Green Stamp Harvesting Ltd.,Green Stamp Har,GREENSTAMPHAR,BC,GREEN STAMP HARVESTING LTD.,BC-0786959,2007-03-29 0:00,Active,1.0000,03/29/07,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
45,Integrated Operations Group Inc.,Integrated Oper,INTEGRATEDOPER,BC,,,,,0.0000,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
46,Island Forest Company Ltd.,Island Forest C,ISLANDFORESTC,BC,ISLAND FOREST COMPANY LTD.,BC-1115653,2017-04-19 0:00,Active,1.0000,04/19/17,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,0,,https://westwoodfibre.ca/
47,Jones Forest Services Ltd.,Jones Forest Se,JONESFORESTSE,BC,JONES FOREST SERVICES LTD.,BC-1113196,2017-03-29 0:00,Active,1.0000,03/29/17,Harvester company,,,,,,,,SAFE,ISEBASE,2-5 employed,,,,,,,,,,,,,,0,,
48,Kamac Construction Ltd,Kamac Construct,KAMACCONSTRUCT,BC,KAMAC CONSTRUCTION LTD.,BC-0955749,2012-11-22 0:00,Active,1.0000,,Harvester company,,,Canadian logging jobs,processor,"['Kamac Construction Ltd.', 'ISO Experienced Processor Operator', 'Prince George\xa0Â·\xa0Full-time', 'Kamac Construction Ltd.', ' posted a job.', '\xa0', ' Â· ', '21 October 2018', '\xa0', ' Â· ', 'Looking for experienced processor operator to start work immediately. Work is located in Bear Lake. Long and short wood. Newer 548 Cat processor with Waratah 62â€¦ ', 'See more']",,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
49,Progressive Harvesting (2000) Ltd.,Progressive Har,PROGRESSIVEHAR,BC,PROGRESSIVE HARVESTING (2000) LTD.,BC-0611569,2000-07-31 0:00,Active,1.0000,07/31/00,Harvester company,,,,,,,,SAFE,BASE,>20 employees,,,,,,,,,,,,,,0,,
50,Storm Mechanical Inc.,Storm Mechanica,STORMMECHANICA,BC,STORM MECHANICAL INC.,BC-1019191,2014-11-17 0:00,Active,1.0000,11/17/14,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
51,Volktrans-Canada Ltd.,Volktrans-Canad,VOLKTRANSCANAD,BC,VOLKTRANS CANADA LTD.,BC-1029689,2015-03-06 0:00,Active,1.0000,,Harvester company,,,,,,,,SAFE,SEBASE,6-19 employed,,,,,,,,,,,,,,0,,
52,Kamac Construction Ltd,Kamac Construction Ltd,,BC,KAMAC CONSTRUCTION LTD.,BC-0955749,2012-11-22 0:00,Active,1.0000,,Harvester company,,,Canadian logging jobs,"long and short wood
548 Cat processor with Waratah 62","['Kamac Construction Ltd.', 'ISO Experienced Processor Operator', 'Prince George\xa0Â·\xa0Full-time', 'Kamac Construction Ltd.', ' posted a job.', '\xa0', ' Â· ', '21 October 2018', '\xa0', ' Â· ', 'Looking for experienced processor operator to start work immediately. Work is located in Bear Lake. Long and short wood. Newer 548 Cat processor with Waratah 62â€¦ ', 'See more']",,,,,,,,,,,,,,,,,,,,,
